gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,not,n270,n9[4],1,0,0,1,1,7,3,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g1,not,n224,n13[6],1,0,0,1,8,3,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
g2,or,n1997,"n1053, n1591",2,0,0,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,0
g3,not,n267,n4[31],1,0,0,1,1,14,3,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g4,not,n497,n31[7],1,0,0,1,8,13,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g5,or,n2101,"n1429, n1625",2,0,0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0
g6,dff,n27[0],"n1, 1'b1, n0, n2223",4,1,1,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7,not,n2249,n19[7],1,0,0,1,6,11,11,3,0,22,0,16,5,0,0,8,0,0,0,0,0,1,0,1,0,0
g8,nor,n1473,"n553, n816",2,0,0,0,6,2,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,0,0,0
g9,not,n618,n35[21],1,0,0,1,7,7,3,2,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
g10,buf,n16[15],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g11,nor,n988,"n671, n69",2,0,0,0,5,10,2,4,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,1,0
g12,xnor,n764,"n511, n86",2,0,0,0,9,17,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
g13,nor,n1558,"n613, n45",2,0,0,0,5,7,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0
g14,dff,n31[12],"n1, 1'b1, n0, n1912",4,1,1,1,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,dff,n13[31],"n1, 1'b1, n0, n2145",4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g16,nor,n1291,"n401, n67",2,0,0,0,4,6,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,0
g17,dff,n30[20],"n1, 1'b1, n0, n2000",4,1,1,1,7,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g18,nor,n1532,"n108, n45",2,0,0,0,5,2,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0
g19,nor,n961,"n707, n63",2,0,0,0,5,20,2,4,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,1,0
g20,dff,n21[26],"n1, 1'b1, n0, n1977",4,1,1,1,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g21,xnor,n668,"n158, n395",2,0,0,0,8,17,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
g22,xnor,n789,"n76, n86",2,0,0,0,6,17,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
g23,or,n1869,"n1247, n1100",2,0,0,0,6,24,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0
g24,nor,n1103,"n93, n59",2,0,0,0,5,25,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,0
g25,not,n212,n29[23],1,0,0,1,7,17,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g26,xnor,n710,"n26[21], n33[17]",2,0,0,1,7,3,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
g27,not,n258,n35[26],1,0,0,1,8,7,3,2,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
g28,xnor,n684,"n550, n179",2,0,0,0,9,12,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
g29,not,n145,n32[15],1,0,0,1,8,20,3,2,0,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g30,not,n305,n4[6],1,0,0,1,1,16,3,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g31,not,n294,n4[23],1,0,0,1,1,15,3,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g32,xnor,n808,"n26[7], n33[3]",2,0,0,1,7,3,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
g33,or,n2177,"n1292, n1007",2,0,0,0,5,10,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,6,0,0,1,0
g34,or,n1889,"n1267, n1107",2,0,0,0,6,24,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0
g35,xnor,n669,"n171, n481",2,0,0,0,9,11,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
g36,not,n527,n28[17],1,0,0,1,8,22,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g37,nor,n1208,"n478, n61",2,0,0,0,6,21,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0
g38,dff,n30[14],"n1, 1'b1, n0, n2022",4,1,1,1,7,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g39,not,n495,n29[26],1,0,0,1,8,17,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g40,nor,n943,"n685, n64",2,0,0,0,5,21,2,4,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,1,0
g41,nor,n1472,"n618, n68",2,0,0,0,4,10,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0
g42,dff,n11[7],"n1, 1'b1, n0, n1789",4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g43,nor,n1096,"n367, n59",2,0,0,0,5,25,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,0
g44,dff,n35[8],"n1, 1'b1, n0, n1940",4,1,1,1,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g45,nor,n1457,"n213, n43",2,0,0,0,6,2,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,0,0,0
g46,nor,n1453,"n141, n50",2,0,0,0,6,15,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,0
g47,or,n1896,"n1278, n1110",2,0,0,0,6,24,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0
g48,nor,n1188,"n112, n57",2,0,0,0,6,24,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0
g49,nor,n1626,"n341, n49",2,0,0,0,2,14,2,5,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0
g50,or,n2089,"n1080, n1606",2,0,0,0,3,14,1,0,0,1,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0
g51,or,n2293,"n2280, n2264",2,0,0,0,6,9,9,3,0,21,0,16,4,0,0,8,0,0,3,0,0,1,0,0,0,0
g52,or,n2171,"n1493, n1115",2,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,68,0,4,39,0,8,9,0
g53,nor,n1160,"n430, n43",2,0,0,0,6,6,2,3,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,0,0,0
g54,not,n171,n34[18],1,0,0,1,8,12,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g55,not,n493,n31[9],1,0,0,1,8,12,3,2,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
g56,xnor,n634,"n534, n116",2,0,0,0,9,17,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
