gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,dff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,dff_gates_fanout,and_gates_prelevel,or_gates_prelevel,nand_gates_prelevel,nor_gates_prelevel,not_gates_prelevel,buf_gates_prelevel,xor_gates_prelevel,xnor_gates_prelevel,dff_gates_prelevel,and_gates_postlevel,or_gates_postlevel,nand_gates_postlevel,nor_gates_postlevel,not_gates_postlevel,buf_gates_postlevel,xor_gates_postlevel,xnor_gates_postlevel,dff_gates_postlevel
g0,buf,n4[31],1'b0,1,0,1,1,4,6,0,1,0,43,0,115,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
g1,buf,n4[30],1'b0,1,0,1,1,4,8,0,1,0,49,0,123,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,buf,n4[29],1'b0,1,0,1,1,4,10,0,1,0,51,0,127,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g3,buf,n4[28],1'b0,1,0,1,1,4,10,0,1,0,53,0,135,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g4,buf,n4[27],1'b0,1,0,1,1,4,12,0,1,0,53,0,139,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g5,buf,n4[26],1'b0,1,0,1,1,4,12,0,1,0,55,0,147,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g6,buf,n4[25],1'b0,1,0,1,1,4,14,0,1,0,60,0,151,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g7,buf,n4[24],1'b0,1,0,1,1,4,14,0,1,0,62,0,159,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g8,buf,n4[23],1'b0,1,0,1,1,4,15,0,1,0,60,0,163,28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g9,buf,n4[22],1'b0,1,0,1,1,4,15,0,1,0,62,0,171,31,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g10,buf,n4[21],1'b0,1,0,1,1,4,15,0,1,0,64,0,175,33,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g11,buf,n4[20],1'b0,1,0,1,1,4,15,0,1,0,66,0,183,35,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g12,buf,n4[19],1'b0,1,0,1,1,4,19,0,1,0,72,0,187,37,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g13,buf,n4[18],1'b0,1,0,1,1,4,19,0,1,0,73,0,195,39,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g14,buf,n4[17],1'b0,1,0,1,1,4,14,0,1,0,71,0,199,41,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g15,buf,n4[16],1'b0,1,0,1,1,4,14,0,1,0,73,0,207,43,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g16,buf,n4[15],1'b0,1,0,1,1,4,14,0,1,0,72,0,211,45,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g17,buf,n4[14],1'b0,1,0,1,1,4,14,0,1,0,73,0,219,47,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g18,buf,n4[13],1'b0,1,0,1,1,4,19,0,1,0,81,0,223,49,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g19,buf,n4[12],1'b0,1,0,1,1,4,19,0,1,0,83,0,231,51,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g20,buf,n4[11],1'b0,1,0,1,1,4,15,0,1,0,81,0,235,53,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g21,buf,n4[10],1'b0,1,0,1,1,4,15,0,1,0,82,0,243,55,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g22,buf,n4[9],1'b0,1,0,1,1,4,17,0,1,0,87,0,247,57,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g23,buf,n4[8],1'b0,1,0,1,1,4,17,0,1,0,89,0,255,59,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g24,buf,n4[7],1'b0,1,0,1,1,4,15,0,1,0,86,0,259,61,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
g25,buf,n4[6],1'b0,1,0,1,1,4,15,0,1,0,87,0,267,63,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
g26,buf,n4[5],1'b0,1,0,1,1,4,17,0,1,0,92,0,271,65,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
