gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,buf,n27[4],1'b0,1,0,1,1,-1,3,0,1
g1,buf,n27[3],1'b0,1,0,1,1,-1,5,0,1
g2,buf,n27[2],1'b0,1,0,1,1,-1,5,0,1
g3,buf,n27[1],1'b0,1,0,1,1,-1,5,0,1
g4,buf,n27[0],1'b0,1,0,1,1,-1,5,0,1
g5,buf,n23[3],1'b0,1,0,1,1,-1,4,0,1
g6,buf,n13[0],n10[0],1,0,0,1,10,0,-1,2
g7,buf,n13[1],n10[1],1,0,0,1,11,0,-1,2
g8,buf,n13[2],n10[0],1,0,0,1,10,0,-1,2
g9,buf,n13[3],n10[1],1,0,0,1,11,0,-1,2
g10,buf,n13[4],1'b0,1,0,1,1,-1,0,-1,-1
g11,buf,n13[5],n10[7],1,0,0,1,-1,0,-1,2
g12,buf,n12[0],n11[0],1,0,0,1,7,0,-1,2
g13,buf,n12[1],n11[1],1,0,0,1,8,0,-1,2
g14,buf,n12[2],n11[2],1,0,0,1,-1,0,-1,2
g15,buf,n12[3],1'b0,1,0,1,1,-1,0,-1,-1
g16,buf,n12[4],1'b0,1,0,1,1,-1,0,-1,-1
g17,buf,n12[5],1'b0,1,0,1,1,-1,0,-1,-1
g18,buf,n12[6],1'b0,1,0,1,1,-1,0,-1,-1
g19,buf,n12[7],1'b0,1,0,1,1,-1,0,-1,-1
g20,buf,n11[3],1'b0,1,0,1,1,-1,0,-1,-1
g21,buf,n11[4],1'b0,1,0,1,1,-1,0,-1,-1
g22,buf,n11[5],1'b0,1,0,1,1,-1,0,-1,-1
g23,buf,n11[6],1'b0,1,0,1,1,-1,0,-1,-1
g24,buf,n11[7],1'b0,1,0,1,1,-1,0,-1,-1
g25,buf,n10[6],1'b0,1,0,1,1,-1,0,-1,-1
g26,buf,n17,1'b0,1,0,1,0,-1,0,-1,-1
g27,not,n698,n1,1,0,0,0,-1,2,2,-1
g28,not,n697,n5,1,0,0,0,-1,9,5,-1
g29,dff,n18[0],"1'b1, 1'b1, n0, n686",4,1,1,1,-1,14,0,1
g30,dff,n18[1],"1'b1, 1'b1, n0, n687",4,1,1,1,-1,14,0,1
g31,dff,n18[2],"1'b1, 1'b1, n0, n684",4,1,1,1,-1,14,0,1
g32,dff,n18[3],"1'b1, 1'b1, n0, n685",4,1,1,1,-1,13,0,1
g33,dff,n16,"1'b1, 1'b1, n0, n437",4,1,1,0,-1,3,0,1
g34,dff,n19[0],"1'b1, 1'b1, n0, n480",4,1,1,1,-1,13,0,1
g35,dff,n19[1],"1'b1, 1'b1, n0, n514",4,1,1,1,-1,12,0,1
g36,dff,n19[2],"1'b1, 1'b1, n0, n513",4,1,1,1,-1,13,0,1
g37,dff,n19[3],"1'b1, 1'b1, n0, n512",4,1,1,1,-1,13,0,1
g38,dff,n19[4],"1'b1, 1'b1, n0, n511",4,1,1,1,-1,13,0,1
g39,dff,n19[5],"1'b1, 1'b1, n0, n510",4,1,1,1,-1,13,0,1
g40,dff,n19[6],"1'b1, 1'b1, n0, n509",4,1,1,1,-1,12,0,1
g41,dff,n19[7],"1'b1, 1'b1, n0, n508",4,1,1,1,-1,12,0,1
g42,dff,n19[8],"1'b1, 1'b1, n0, n507",4,1,1,1,-1,12,0,1
g43,dff,n19[9],"1'b1, 1'b1, n0, n506",4,1,1,1,-1,12,0,1
g44,dff,n19[10],"1'b1, 1'b1, n0, n505",4,1,1,1,-1,12,0,1
g45,dff,n19[11],"1'b1, 1'b1, n0, n504",4,1,1,1,-1,12,0,1
g46,dff,n19[12],"1'b1, 1'b1, n0, n503",4,1,1,1,-1,12,0,1
g47,dff,n19[13],"1'b1, 1'b1, n0, n515",4,1,1,1,-1,12,0,1
g48,dff,n19[14],"1'b1, 1'b1, n0, n523",4,1,1,1,-1,12,0,1
g49,dff,n19[15],"1'b1, 1'b1, n0, n502",4,1,1,1,-1,12,0,1
g50,dff,n10[0],"1'b1, 1'b1, n0, n300",4,1,1,1,9,0,0,1
g51,dff,n10[1],"1'b1, 1'b1, n0, n301",4,1,1,1,10,0,0,1
g52,dff,n10[7],"1'b1, 1'b1, n0, n302",4,1,1,1,-1,0,0,1
g53,dff,n13[6],"1'b1, 1'b1, n0, n269",4,1,1,1,-1,0,0,1
g54,dff,n13[7],"1'b1, 1'b1, n0, n277",4,1,1,1,-1,0,0,1
g55,dff,n11[0],"1'b1, 1'b1, n0, n604",4,1,1,1,6,0,0,1
g56,dff,n11[1],"1'b1, 1'b1, n0, n658",4,1,1,1,7,0,0,1
g57,dff,n11[2],"1'b1, 1'b1, n0, n448",4,1,1,1,-1,0,0,1
g58,dff,n9[0],"1'b1, 1'b1, n0, n468",4,1,1,1,13,0,0,1
g59,dff,n9[1],"1'b1, 1'b1, n0, n469",4,1,1,1,18,0,0,1
g60,dff,n9[2],"1'b1, 1'b1, n0, n470",4,1,1,1,23,0,0,1
g61,dff,n9[3],"1'b1, 1'b1, n0, n457",4,1,1,1,28,0,0,1
g62,dff,n9[4],"1'b1, 1'b1, n0, n455",4,1,1,1,33,0,0,1
g63,dff,n9[5],"1'b1, 1'b1, n0, n460",4,1,1,1,38,0,0,1
g64,dff,n9[6],"1'b1, 1'b1, n0, n459",4,1,1,1,43,0,0,1
g65,dff,n9[7],"1'b1, 1'b1, n0, n458",4,1,1,1,48,0,0,1
g66,dff,n20[0],"1'b1, 1'b1, n0, n695",4,1,1,1,9,4,0,1
g67,dff,n20[1],"1'b1, 1'b1, n0, n696",4,1,1,1,14,4,0,1
g68,dff,n20[2],"1'b1, 1'b1, n0, n694",4,1,1,1,19,4,0,1
g69,dff,n20[3],"1'b1, 1'b1, n0, n693",4,1,1,1,24,5,0,1
g70,dff,n20[4],"1'b1, 1'b1, n0, n692",4,1,1,1,29,5,0,1
g71,dff,n20[5],"1'b1, 1'b1, n0, n691",4,1,1,1,34,4,0,1
g72,dff,n20[6],"1'b1, 1'b1, n0, n690",4,1,1,1,39,4,0,1
g73,dff,n20[7],"1'b1, 1'b1, n0, n689",4,1,1,1,44,4,0,1
g74,dff,n21[0],"1'b1, 1'b1, n0, n641",4,1,1,1,9,5,0,1
g75,dff,n21[1],"1'b1, 1'b1, n0, n640",4,1,1,1,14,5,0,1
g76,dff,n21[2],"1'b1, 1'b1, n0, n639",4,1,1,1,19,5,0,1
g77,dff,n21[3],"1'b1, 1'b1, n0, n638",4,1,1,1,24,4,0,1
g78,dff,n21[4],"1'b1, 1'b1, n0, n637",4,1,1,1,29,4,0,1
g79,dff,n21[5],"1'b1, 1'b1, n0, n636",4,1,1,1,34,5,0,1
g80,dff,n21[6],"1'b1, 1'b1, n0, n635",4,1,1,1,39,5,0,1
g81,dff,n21[7],"1'b1, 1'b1, n0, n634",4,1,1,1,44,5,0,1
g82,dff,n22[0],"1'b1, 1'b1, n0, n665",4,1,1,1,-1,5,0,1
g83,dff,n22[0],"1'b1, 1'b1, n0, n379",4,1,1,1,-1,5,0,1
g84,dff,n22[1],"1'b1, 1'b1, n0, n642",4,1,1,1,-1,5,0,1
g85,dff,n22[1],"1'b1, 1'b1, n0, n378",4,1,1,1,-1,5,0,1
g86,dff,n22[2],"1'b1, 1'b1, n0, n650",4,1,1,1,-1,5,0,1
g87,dff,n22[2],"1'b1, 1'b1, n0, n377",4,1,1,1,-1,5,0,1
g88,dff,n22[3],"1'b1, 1'b1, n0, n649",4,1,1,1,-1,5,0,1
g89,dff,n22[3],"1'b1, 1'b1, n0, n376",4,1,1,1,-1,5,0,1
g90,dff,n22[4],"1'b1, 1'b1, n0, n648",4,1,1,1,-1,3,0,1
g91,dff,n22[4],"1'b1, 1'b1, n0, n375",4,1,1,1,-1,3,0,1
g92,dff,n23[3],"1'b1, 1'b1, n0, n452",4,1,1,1,-1,4,0,1
g93,dff,n24[0],"1'b1, 1'b1, n0, n647",4,1,1,1,-1,11,0,1
g94,dff,n24[1],"1'b1, 1'b1, n0, n646",4,1,1,1,-1,9,0,1
g95,dff,n24[2],"1'b1, 1'b1, n0, n645",4,1,1,1,-1,9,0,1
g96,dff,n24[3],"1'b1, 1'b1, n0, n644",4,1,1,1,-1,9,0,1
g97,dff,n25[0],"1'b1, 1'b1, n0, n666",4,1,1,1,5,8,0,1
g98,dff,n25[1],"1'b1, 1'b1, n0, n656",4,1,1,1,10,8,0,1
g99,dff,n25[2],"1'b1, 1'b1, n0, n653",4,1,1,1,15,8,0,1
g100,dff,n25[3],"1'b1, 1'b1, n0, n655",4,1,1,1,20,8,0,1
g101,dff,n25[4],"1'b1, 1'b1, n0, n654",4,1,1,1,25,8,0,1
g102,dff,n25[5],"1'b1, 1'b1, n0, n652",4,1,1,1,30,8,0,1
g103,dff,n25[6],"1'b1, 1'b1, n0, n657",4,1,1,1,35,8,0,1
g104,dff,n25[7],"1'b1, 1'b1, n0, n661",4,1,1,1,40,8,0,1
g105,dff,n14,"1'b1, 1'b1, n0, n548",4,1,1,0,-1,8,0,1
g106,dff,n15,"1'b1, 1'b1, n0, n607",4,1,1,0,8,-1,0,1
g107,dff,n26[0],"1'b1, 1'b1, n0, n643",4,1,1,1,-1,3,0,1
g108,dff,n26[1],"1'b1, 1'b1, n0, n660",4,1,1,1,-1,3,0,1
g109,dff,n26[2],"1'b1, 1'b1, n0, n651",4,1,1,1,-1,5,0,1
g110,dff,n10[2],"1'b1, 1'b1, n0, n444",4,1,1,1,-1,0,0,1
g111,dff,n10[3],"1'b1, 1'b1, n0, n445",4,1,1,1,-1,0,0,1
g112,dff,n10[4],"1'b1, 1'b1, n0, n446",4,1,1,1,-1,0,0,1
g113,dff,n10[5],"1'b1, 1'b1, n0, n447",4,1,1,1,-1,0,0,1
g114,dff,n27[0],"1'b1, 1'b1, n0, n427",4,1,1,1,-1,5,0,1
g115,dff,n27[1],"1'b1, 1'b1, n0, n441",4,1,1,1,-1,5,0,1
g116,dff,n27[2],"1'b1, 1'b1, n0, n440",4,1,1,1,-1,5,0,1
g117,dff,n27[3],"1'b1, 1'b1, n0, n439",4,1,1,1,-1,5,0,1
g118,dff,n27[4],"1'b1, 1'b1, n0, n438",4,1,1,1,-1,3,0,1
g119,or,n696,"n674, n682",2,0,0,0,13,5,1,0
g120,or,n695,"n675, n683",2,0,0,0,8,5,1,0
g121,or,n694,"n673, n681",2,0,0,0,18,5,1,0
g122,or,n693,"n672, n679",2,0,0,0,23,6,1,0
g123,or,n692,"n671, n680",2,0,0,0,28,6,1,0
g124,or,n691,"n670, n678",2,0,0,0,33,5,1,0
g125,or,n690,"n669, n677",2,0,0,0,38,5,1,0
g126,or,n689,"n676, n688",2,0,0,0,43,5,1,0
g127,nor,n688,"n141, n667",2,0,0,0,42,6,2,3
g128,or,n687,"n554, n664",2,0,0,0,-1,15,1,0
g129,or,n686,"n553, n659",2,0,0,0,-1,15,1,0
g130,or,n685,"n589, n662",2,0,0,0,-1,14,1,0
g131,or,n684,"n552, n663",2,0,0,0,-1,15,1,0
g132,nor,n683,"n201, n667",2,0,0,0,7,6,2,3
g133,nor,n682,"n198, n667",2,0,0,0,12,6,2,3
g134,nor,n681,"n205, n667",2,0,0,0,17,6,2,3
g135,nor,n680,"n137, n667",2,0,0,0,27,7,2,3
g136,nor,n679,"n202, n667",2,0,0,0,22,7,2,3
g137,nor,n678,"n197, n667",2,0,0,0,32,6,2,3
g138,nor,n677,"n200, n667",2,0,0,0,37,6,2,3
g139,nor,n676,"n228, n668",2,0,0,0,46,6,2,3
g140,nor,n675,"n232, n668",2,0,0,0,11,6,2,3
g141,nor,n674,"n257, n668",2,0,0,0,16,6,2,3
g142,nor,n673,"n245, n668",2,0,0,0,21,6,2,3
g143,nor,n672,"n260, n668",2,0,0,0,26,7,2,3
g144,nor,n671,"n233, n668",2,0,0,0,31,7,2,3
g145,nor,n670,"n229, n668",2,0,0,0,36,6,2,3
