gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout,gate_numbers,label
g0,nor,n294,"n126, n285",2,0,0,0,2,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g0'],Not_Trojan
g1,dff,n6[14],"1'b1, 1'b1, n0, n354",4,1,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g1'],Not_Trojan
g2,not,n471,n14[6],1,0,0,1,3,13,3,2,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,['g2'],Trojan
g3,nor,n352,"n13[0], n322",2,0,0,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,['g3'],Not_Trojan
g4,xor,n7[9],"n2[25], n2[9]",2,0,0,1,1,6,2,-1,0,2,0,24,7,0,2,0,0,0,2,0,24,7,0,2,0,0,['g4'],Not_Trojan
g5,nor,n251,"n156, n209",2,0,0,0,3,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g5'],Not_Trojan
g6,or,n513,"n558, n7[14]",2,0,0,1,2,5,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['g6'],Trojan
g7,not,n152,n2[0],1,0,0,1,1,7,2,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,['g7'],Not_Trojan
g8,not,n476,n14[5],1,0,0,1,3,13,3,2,0,0,0,6,2,0,1,0,0,0,0,0,6,2,0,1,0,0,['g8'],Trojan
g9,or,n539,"n558, n499",2,0,0,0,2,5,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['g9'],Trojan
g10,not,n385,n5[3],1,0,0,1,4,5,10,2,0,38,0,57,5,0,1,2,0,0,38,0,57,5,0,1,2,0,['g10'],Not_Trojan
g11,dff,n10[12],"1'b1, 1'b1, n0, n242",4,1,1,1,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g11'],Not_Trojan
g12,not,n390,n406,1,0,0,0,6,8,13,4,0,41,0,57,5,0,1,2,0,0,41,0,57,5,0,1,2,0,['g12'],Not_Trojan
g13,not,n101,n100,1,0,0,0,7,24,5,4,0,0,0,34,18,0,1,0,0,0,0,0,34,18,0,1,0,0,['g13'],Not_Trojan
g14,buf,n4[18],n4[31],1,0,0,1,5,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g14'],Not_Trojan
g15,nor,n325,"n137, n307",2,0,0,0,5,3,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,['g15'],Not_Trojan
g16,or,n199,"n197, n9[6]",2,0,0,1,4,12,9,2,0,4,0,20,1,0,0,0,0,0,4,0,20,1,0,0,0,0,['g16'],Not_Trojan
g17,nor,n247,"n164, n209",2,0,0,0,3,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g17'],Not_Trojan
g18,nor,n573,"n434, n435",2,0,0,0,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g18'],Trojan
g19,not,n170,n391,1,0,0,0,7,19,2,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,['g19'],Not_Trojan
g20,nor,n269,"n143, n257",2,0,0,0,5,17,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,['g20'],Not_Trojan
g21,nor,n266,"n174, n260",2,0,0,0,5,10,7,3,0,2,0,20,1,0,0,0,0,0,2,0,20,1,0,0,0,0,['g21'],Not_Trojan
g22,dff,n10[7],"1'b1, 1'b1, n0, n245",4,1,1,1,4,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g22'],Not_Trojan
g23,nor,n225,"n189, n126",2,0,0,0,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g23'],Not_Trojan
g24,dff,n8[0],"1'b1, 1'b1, n0, n303",4,1,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g24'],Not_Trojan
g25,not,n155,n408,1,0,0,0,6,15,4,4,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,['g25'],Not_Trojan
