gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,nor,n1745,"n1697, n1721",2,0,0,0,9,11,11,6,['g0'],Trojan
g1,not,n2657,n2656,1,0,0,0,9,15,15,6,['g1'],Trojan
g2,nor,n791,"n128, n655",2,0,0,0,3,4,4,3,['g2'],Not_Trojan
g3,not,n161,n10[3],1,0,0,1,13,3,3,2,['g3'],Not_Trojan
g4,not,n1716,n1715,1,0,0,0,8,13,13,5,['g4'],Trojan
g5,dff,n20[4],"n1, 1'b1, n0, n844",4,1,1,1,4,6,0,1,['g5'],Not_Trojan
g6,dff,n20[0],"n1, 1'b1, n0, n848",4,1,1,1,4,6,0,1,['g6'],Not_Trojan
g7,xnor,n3315,"n3024, n3051",2,0,0,0,14,9,9,11,['g7'],Trojan
g8,nor,n1537,"n1523, n1512",2,0,0,0,6,14,14,3,['g8'],Trojan
g9,nor,n674,"n107, n661",2,0,0,0,2,8,2,7,['g9'],Not_Trojan
g10,xnor,n1486,"n1463, n1435",2,0,0,0,11,9,9,8,['g10'],Trojan
g11,nor,n2952,"n2951, n2915",2,0,0,0,14,10,10,11,['g11'],Trojan
g12,nor,n1136,"n1049, n1102",2,0,0,0,9,14,14,6,['g12'],Trojan
g13,xor,n3284,"n2930, n2949",2,0,0,0,14,8,8,11,['g13'],Trojan
g14,buf,n9[28],1'b0,1,0,1,1,-1,0,-1,-1,['g14'],Not_Trojan
g15,nor,n3176,"n3087, n3141",2,0,0,0,6,6,6,3,['g15'],Trojan
g16,or,n3163,"n3154, n3138",2,0,0,0,7,7,7,4,['g16'],Trojan
g17,nor,n1116,"n958, n1064",2,0,0,0,8,13,13,5,['g17'],Trojan
g18,nor,n456,"n163, n102",2,0,0,0,10,19,2,5,['g18'],Not_Trojan
g19,nor,n2172,"n2025, n2077",2,0,0,0,7,14,14,4,['g19'],Trojan
g20,nor,n1361,"n1329, n1322",2,0,0,0,9,10,10,6,['g20'],Trojan
g21,nor,n2010,"n1869, n1891",2,0,0,0,6,15,15,3,['g21'],Trojan
g22,nor,n1095,"n1012, n1069",2,0,0,0,8,13,13,5,['g22'],Trojan
g23,nor,n2951,"n2924, n2950",2,0,0,0,14,9,9,11,['g23'],Trojan
g24,nor,n2681,"n2580, n2629",2,0,0,0,11,15,15,8,['g24'],Trojan
g25,not,n1734,n1733,1,0,0,0,9,13,13,6,['g25'],Trojan
g26,nor,n727,"n125, n649",2,0,0,0,3,8,2,3,['g26'],Not_Trojan
g27,nor,n989,"n961, n971",2,0,0,0,6,15,15,3,['g27'],Trojan
g28,or,n605,"n379, n356",2,0,0,0,8,10,1,0,['g28'],Not_Trojan
g29,not,n191,n20[4],1,0,0,1,5,5,3,2,['g29'],Not_Trojan
g30,not,n1232,n942,1,0,0,0,8,11,11,5,['g30'],Trojan
g31,nor,n1102,"n949, n1062",2,0,0,0,8,15,15,5,['g31'],Trojan
