gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,dff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,dff_gates_fanout,and_gates_prelevel,or_gates_prelevel,nand_gates_prelevel,nor_gates_prelevel,not_gates_prelevel,buf_gates_prelevel,xor_gates_prelevel,xnor_gates_prelevel,dff_gates_prelevel,and_gates_postlevel,or_gates_postlevel,nand_gates_postlevel,nor_gates_postlevel,not_gates_postlevel,buf_gates_postlevel,xor_gates_postlevel,xnor_gates_postlevel,dff_gates_postlevel,gate_numbers,label
g0,not,n2346,n1,1,0,0,0,1,5,3,-1,0,0,0,0,0,0,0,0,0,0,960,0,674,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,['g0'],Not_Trojan
g1,or,n2482,"n2260, n2345",2,0,0,0,5,6,6,4,0,64,0,8,36,2,1,2,0,0,456,0,884,331,0,16,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,['g1'],Not_Trojan
g2,or,n2481,"n2256, n2344",2,0,0,0,5,7,7,4,0,64,0,5,35,2,0,3,0,0,463,0,892,333,0,16,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,['g2'],Not_Trojan
g3,or,n2480,"n2252, n2343",2,0,0,0,5,6,6,4,0,64,0,3,35,2,0,3,0,0,470,0,900,335,0,16,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,['g3'],Not_Trojan
g4,or,n2479,"n2268, n2342",2,0,0,0,5,6,6,4,0,64,0,4,35,2,0,2,0,0,243,0,459,171,0,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g4'],Not_Trojan
g5,nor,n2345,"n2150, n2341",2,0,0,0,4,7,7,4,0,63,0,7,34,1,1,2,0,0,456,0,885,331,0,16,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,['g5'],Not_Trojan
g6,nor,n2344,"n2150, n2340",2,0,0,0,4,8,8,4,0,63,0,4,33,1,0,3,0,0,463,0,893,333,0,16,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,['g6'],Not_Trojan
g7,nor,n2343,"n2150, n2339",2,0,0,0,4,7,7,4,0,63,0,2,33,1,0,3,0,0,470,0,901,335,0,16,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,['g7'],Not_Trojan
g8,nor,n2342,"n2150, n2338",2,0,0,0,4,7,7,4,0,63,0,3,33,1,0,2,0,0,243,0,460,171,0,8,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,['g8'],Not_Trojan
g9,or,n2483,"n2234, n2320",2,0,0,0,5,6,6,4,0,1,0,10,6,2,0,1,0,0,227,0,439,165,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g9'],Not_Trojan
g10,or,n2517,"n2276, n2334",2,0,0,0,5,6,6,4,0,1,0,78,6,2,0,1,0,0,91,0,167,63,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g10'],Not_Trojan
